Date,Time,Petite Frite,Moyenne Frite,Grande Frite,Burger,valeur petite frite,valeur moyenne frite,valeur grande frite,valeur burger,valeur commande
28/11/2019,,0,6,0,8,0,18,0,48,66
28/11/2019,,2,0,0,0,4,0,0,0,4
28/11/2019,,0,1,0,0,0,3,0,0,3
28/11/2019,,0,0,1,0,0,0,4,0,4
28/11/2019,,0,0,3,0,0,0,12,0,12
28/11/2019,,1,0,0,0,2,0,0,0,2
28/11/2019,,0,1,0,1,0,3,0,6,9
05/12/2019,,0,0,1,0,0,0,4,0,4
05/12/2019,,0,1,0,0,0,3,0,0,3
05/12/2019,,1,0,0,0,2,0,0,0,2
05/12/2019,,0,1,0,0,0,3,0,0,3
05/12/2019,,0,0,1,2,0,0,4,12,16
05/12/2019,,0,0,1,0,0,0,4,0,4
05/12/2019,,0,0,0,1,0,0,0,6,6
05/12/2019,,0,0,1,1,0,0,4,6,10
05/12/2019,,0,0,1,2,0,0,4,12,16
05/12/2019,,0,1,0,0,0,3,0,0,3
05/12/2019,,0,0,0,1,0,0,0,6,6
12/12/2019,12:00,0,2,0,0,0,6,0,0,6
12/12/2019,,0,1,0,0,0,3,0,0,3
12/12/2019,,0,1,0,0,0,3,0,0,3
12/12/2019,,0,0,1,0,0,0,4,0,4
12/12/2019,,1,0,0,0,2,0,0,0,2
12/12/2019,,0,1,0,0,0,3,0,0,3
12/12/2019,,0,2,0,2,0,6,0,12,18
12/12/2019,,1,0,0,0,2,0,0,0,2
12/12/2019,,0,0,2,2,0,0,8,12,20
12/12/2019,,0,4,0,4,0,12,0,24,36
12/12/2019,,0,1,0,0,0,3,0,0,3
12/12/2019,,1,0,0,1,2,0,0,6,8
19/12/2019,12:15,0,2,0,2,0,6,0,12,18
19/12/2019,,1,0,0,0,2,0,0,0,2
19/12/2019,,1,0,0,0,2,0,0,0,2
19/12/2019,,0,0,0,1,0,0,0,6,6
19/12/2019,,0,0,1,0,0,0,4,0,4
19/12/2019,,0,0,2,2,0,0,8,12,20
19/12/2019,,0,4,0,0,0,12,0,0,12
19/12/2019,,0,1,0,1,0,3,0,6,9
19/12/2019,,1,1,0,0,2,3,0,0,5
19/12/2019,,0,0,2,0,0,0,8,0,8
19/12/2019,,0,0,0,2,0,0,0,12,12
26/12/2019,12:00,0,3,0,3,0,9,0,18,27
26/12/2019,,1,0,0,0,2,0,0,0,2
26/12/2019,,0,0,2,0,0,0,8,0,8
26/12/2019,,1,0,0,0,2,0,0,0,2
26/12/2019,,1,0,0,0,2,0,0,0,2
26/12/2019,,1,0,0,0,2,0,0,0,2
26/12/2019,,0,1,2,0,0,3,8,0,11
26/12/2019,,0,1,0,0,0,3,0,0,3
26/12/2019,,0,1,0,0,0,3,0,0,3
26/12/2019,,2,0,0,0,4,0,0,0,4
26/12/2019,,0,2,0,2,0,6,0,12,18
09/01/2020,11:15,0,1,0,0,0,3,0,0,3
09/01/2020,11:35,0,0,1,0,0,0,4,0,4
09/01/2020,12:05,1,0,0,1,2,0,0,6,8
09/01/2020,12:15,2,0,0,4,4,0,0,24,28
09/01/2020,,1,0,0,0,2,0,0,0,2
09/01/2020,,0,2,0,0,0,6,0,0,6
09/01/2020,,0,1,0,0,0,3,0,0,3
09/01/2020,,0,2,0,2,0,6,0,12,18
09/01/2020,,0,1,0,2,0,3,0,12,15
09/01/2020,,0,0,1,3,0,0,4,18,22
09/01/2020,,0,0,0,1,0,0,0,6,6
16/01/2020,11:45,0,0,1,1,0,0,4,6,10
16/01/2020,12:00,0,1,0,1,0,3,0,6,9
16/01/2020,12:00,0,1,1,0,0,3,4,0,7
16/01/2020,,1,0,0,0,2,0,0,0,2
16/01/2020,,1,0,0,0,2,0,0,0,2
16/01/2020,,1,0,0,0,2,0,0,0,2
16/01/2020,,0,0,3,0,0,0,12,0,12
16/01/2020,,0,0,1,3,0,0,4,18,22
16/01/2020,,0,2,0,2,0,6,0,12,18
23/01/2020,11:40,2,0,0,2,4,0,0,12,16
23/01/2020,11:45,0,4,0,4,0,12,0,24,36
23/01/2020,12:00,0,1,0,0,0,3,0,0,3
23/01/2020,,1,0,0,0,2,0,0,0,2
23/01/2020,,1,0,0,0,2,0,0,0,2
23/01/2020,,0,0,0,1,0,0,0,6,6
23/01/2020,,1,0,0,0,2,0,0,0,2
23/01/2020,,1,0,0,0,2,0,0,0,2
23/01/2020,,0,1,0,0,0,3,0,0,3
23/01/2020,,1,0,0,0,2,0,0,0,2
23/01/2020,,0,0,1,2,0,0,4,12,16
30/01/2020,11:00,0,3,0,0,0,9,0,0,9
30/01/2020,11:15,0,0,1,0,0,0,4,0,4
30/01/2020,11:45,0,0,2,0,0,0,8,0,8
30/01/2020,11:45,0,4,0,4,0,12,0,24,36
30/01/2020,,0,0,2,1,0,0,8,6,14
30/01/2020,,0,0,0,1,0,0,0,6,6
30/01/2020,,0,0,1,0,0,0,4,0,4
30/01/2020,,1,0,0,0,2,0,0,0,2
30/01/2020,,0,0,1,0,0,0,4,0,4
30/01/2020,,0,1,0,1,0,3,0,6,9
06/02/2020,10:55,0,0,1,0,0,0,4,0,4
06/02/2020,11:55,1,1,0,2,2,3,0,12,17
06/02/2020,12:20,0,0,2,4,0,0,8,24,32
06/02/2020,12:40,0,3,0,3,0,9,0,18,27
06/02/2020,,1,0,0,0,2,0,0,0,2
06/02/2020,,0,1,0,0,0,3,0,0,3
06/02/2020,,0,1,0,0,0,3,0,0,3
06/02/2020,,0,2,0,2,0,6,0,12,18
13/02/2020,12:00,0,2,0,2,0,6,0,12,18
13/02/2020,12:00,0,0,1,2,0,0,4,12,16
13/02/2020,12:10,1,0,0,1,2,0,0,6,8
13/02/2020,,0,0,0,1,0,0,0,6,6
13/02/2020,,1,0,0,0,2,0,0,0,2
13/02/2020,,1,0,0,0,2,0,0,0,2
13/02/2020,,0,1,0,0,0,3,0,0,3
13/02/2020,,0,1,0,0,0,3,0,0,3
13/02/2020,,0,1,0,0,0,3,0,0,3
13/02/2020,,0,0,1,4,0,0,4,24,28
13/02/2020,,1,0,0,0,2,0,0,0,2
13/02/2020,,0,0,2,0,0,0,8,0,8
13/02/2020,,0,1,0,0,0,3,0,0,3
13/02/2020,,0,0,1,0,0,0,4,0,4
13/02/2020,,1,0,0,0,2,0,0,0,2
20/02/2020,11:30,0,1,0,1,0,3,0,6,9
20/02/2020,11:40,2,1,0,3,4,3,0,18,25
20/02/2020,,0,1,0,0,0,3,0,0,3
20/02/2020,,0,0,1,1,0,0,4,6,10
20/02/2020,,1,0,0,0,2,0,0,0,2
27/02/2020,,0,0,0,1,0,0,0,6,6
27/02/2020,,1,0,0,0,2,0,0,0,2
27/02/2020,,0,1,0,0,0,3,0,0,3
27/02/2020,,1,0,0,0,2,0,0,0,2
27/02/2020,,0,3,0,0,0,9,0,0,9
27/02/2020,,1,0,0,0,2,0,0,0,2
27/02/2020,,1,0,0,0,2,0,0,0,2
27/02/2020,,1,0,0,0,2,0,0,0,2
05/03/2020,,0,0,2,3,0,0,8,18,26
05/03/2020,,1,0,0,0,2,0,0,0,2
05/03/2020,,1,0,0,0,2,0,0,0,2
05/03/2020,,0,1,0,0,0,3,0,0,3
05/03/2020,,1,0,0,0,2,0,0,0,2
