Date,Day,Time,Hour_missing,Hour,Petite Frite,Moyenne Frite,Grande Frite,Burger,valeur commande
26/12/2019,Thursday,,1.00,12.00,1,0,0,0,2
26/12/2019,Thursday,,1.00,12.00,0,0,2,0,8
26/12/2019,Thursday,,1.00,12.00,1,0,0,0,2
26/12/2019,Thursday,,1.00,12.00,1,0,0,0,2
26/12/2019,Thursday,,1.00,12.00,1,0,0,0,2
26/12/2019,Thursday,,1.00,12.00,0,1,2,0,11
26/12/2019,Thursday,,1.00,12.00,0,1,0,0,3
26/12/2019,Thursday,,1.00,12.00,0,1,0,0,3
26/12/2019,Thursday,,1.00,12.00,2,0,0,0,4
26/12/2019,Thursday,,1.00,12.00,0,2,0,2,18
09/01/2020,Thursday,11:15,0.00,11.00,0,1,0,0,3
09/01/2020,Thursday,11:35,0.00,11.00,0,0,1,0,4
09/01/2020,Thursday,12:05,0.00,12.00,1,0,0,1,8
09/01/2020,Thursday,12:15,0.00,12.00,2,0,0,4,28
09/01/2020,Thursday,,1.00,12.00,1,0,0,0,2
09/01/2020,Thursday,,1.00,12.00,0,2,0,0,6
09/01/2020,Thursday,,1.00,12.00,0,1,0,0,3
09/01/2020,Thursday,,1.00,12.00,0,2,0,2,18
09/01/2020,Thursday,,1.00,12.00,0,1,0,2,15
09/01/2020,Thursday,,1.00,12.00,0,0,1,3,22
09/01/2020,Thursday,,1.00,12.00,0,0,0,1,6
16/01/2020,Thursday,11:45,0.00,11.00,0,0,1,1,10
16/01/2020,Thursday,12:00,0.00,12.00,0,1,0,1,9
16/01/2020,Thursday,12:00,0.00,12.00,0,1,1,0,7
16/01/2020,Thursday,,1.00,12.00,1,0,0,0,2
16/01/2020,Thursday,,1.00,12.00,1,0,0,0,2
16/01/2020,Thursday,,1.00,12.00,1,0,0,0,2
16/01/2020,Thursday,,1.00,12.00,0,0,3,0,12
16/01/2020,Thursday,,1.00,12.00,0,0,1,3,22
16/01/2020,Thursday,,1.00,12.00,0,2,0,2,18
23/01/2020,Thursday,11:40,0.00,11.00,2,0,0,2,16
23/01/2020,Thursday,11:45,0.00,11.00,0,4,0,4,36
23/01/2020,Thursday,12:00,0.00,12.00,0,1,0,0,3
23/01/2020,Thursday,,1.00,12.00,1,0,0,0,2
23/01/2020,Thursday,,1.00,12.00,1,0,0,0,2
23/01/2020,Thursday,,1.00,12.00,0,0,0,1,6
23/01/2020,Thursday,,1.00,12.00,1,0,0,0,2
23/01/2020,Thursday,,1.00,12.00,1,0,0,0,2
23/01/2020,Thursday,,1.00,12.00,0,1,0,0,3
23/01/2020,Thursday,,1.00,12.00,1,0,0,0,2
23/01/2020,Thursday,,1.00,12.00,0,0,1,2,16
30/01/2020,Thursday,11:00,0.00,11.00,0,3,0,0,9
30/01/2020,Thursday,11:15,0.00,11.00,0,0,1,0,4
30/01/2020,Thursday,11:45,0.00,11.00,0,0,2,0,8
30/01/2020,Thursday,11:45,0.00,11.00,0,4,0,4,36
30/01/2020,Thursday,,1.00,11.00,0,0,2,1,14
30/01/2020,Thursday,,1.00,11.00,0,0,0,1,6
30/01/2020,Thursday,,1.00,11.00,0,0,1,0,4
30/01/2020,Thursday,,1.00,11.00,1,0,0,0,2
30/01/2020,Thursday,,1.00,11.00,0,0,1,0,4
30/01/2020,Thursday,,1.00,11.00,0,1,0,1,9
06/02/2020,Thursday,10:55,0.00,10.00,0,0,1,0,4
06/02/2020,Thursday,11:55,0.00,11.00,1,1,0,2,17
06/02/2020,Thursday,12:20,0.00,12.00,0,0,2,4,32
06/02/2020,Thursday,12:40,0.00,12.00,0,3,0,3,27
06/02/2020,Thursday,,1.00,12.00,1,0,0,0,2
06/02/2020,Thursday,,1.00,12.00,0,1,0,0,3
06/02/2020,Thursday,,1.00,12.00,0,1,0,0,3
06/02/2020,Thursday,,1.00,12.00,0,2,0,2,18
13/02/2020,Thursday,12:00,0.00,12.00,0,2,0,2,18
13/02/2020,Thursday,12:00,0.00,12.00,0,0,1,2,16
13/02/2020,Thursday,12:10,0.00,12.00,1,0,0,1,8
13/02/2020,Thursday,,1.00,12.00,0,0,0,1,6
13/02/2020,Thursday,,1.00,12.00,1,0,0,0,2
13/02/2020,Thursday,,1.00,12.00,1,0,0,0,2
13/02/2020,Thursday,,1.00,12.00,0,1,0,0,3
13/02/2020,Thursday,,1.00,12.00,0,1,0,0,3
13/02/2020,Thursday,,1.00,12.00,0,1,0,0,3
13/02/2020,Thursday,,1.00,12.00,0,0,1,4,28
